time,open,high,low,close,Volume
2025-03-19T07:09:00-04:00,19762,19763.75,19758.5,19763.5,38
2025-03-19T07:10:00-04:00,19764.25,19770.25,19761,19768,119
2025-03-19T07:11:00-04:00,19768.5,19775.25,19768.5,19771.25,131
2025-03-19T07:12:00-04:00,19771,19773.25,19768,19773.25,90
2025-03-19T07:13:00-04:00,19772.5,19776.75,19772.5,19775,91
2025-03-19T07:14:00-04:00,19775,19776.5,19774,19776.5,55
2025-03-19T07:15:00-04:00,19775.75,19776.5,19770.25,19771,74
2025-03-19T07:16:00-04:00,19770,19772.75,19767,19768,101
2025-03-19T07:17:00-04:00,19767.75,19768.75,19764,19768.5,90
2025-03-19T07:18:00-04:00,19768,19770.5,19764,19768.5,81
2025-03-19T07:19:00-04:00,19769,19774.25,19768.25,19770.25,95
2025-03-19T07:20:00-04:00,19770.25,19770.75,19767.5,19769,79
2025-03-19T07:21:00-04:00,19770,19770,19764.25,19764.5,57
2025-03-19T07:22:00-04:00,19763.75,19769,19762.5,19768.5,41
2025-03-19T07:23:00-04:00,19768.5,19772.25,19768.25,19772,69
2025-03-19T07:24:00-04:00,19770.75,19775.5,19770,19773,124
2025-03-19T07:25:00-04:00,19772.75,19779.75,19772.25,19775.5,125
2025-03-19T07:26:00-04:00,19775.75,19778.75,19774.75,19776,58
2025-03-19T07:27:00-04:00,19776.25,19777.5,19773.5,19774,37
2025-03-19T07:28:00-04:00,19773.5,19773.5,19768.75,19771,146
2025-03-19T07:29:00-04:00,19770.25,19773.5,19768.25,19772,57
2025-03-19T07:30:00-04:00,19771.5,19771.5,19768.25,19770.25,46
2025-03-19T07:31:00-04:00,19770.75,19770.75,19767.25,19767.25,48
2025-03-19T07:32:00-04:00,19766.75,19771.75,19766.25,19768.5,83
2025-03-19T07:33:00-04:00,19768.75,19769,19766.25,19766.5,137
2025-03-19T07:34:00-04:00,19767,19771.5,19767,19769.75,69
2025-03-19T07:35:00-04:00,19770.75,19771.5,19767,19767.5,138
2025-03-19T07:36:00-04:00,19767.5,19775.25,19767.5,19771.5,71
2025-03-19T07:37:00-04:00,19772,19777.25,19770,19774.5,95
2025-03-19T07:38:00-04:00,19775.75,19776.25,19772.25,19773.25,92
2025-03-19T07:39:00-04:00,19773,19780.5,19772.5,19779.25,152
2025-03-19T07:40:00-04:00,19778.25,19780.25,19776.75,19778,90
2025-03-19T07:41:00-04:00,19778.25,19779.75,19777.25,19779.25,53
2025-03-19T07:42:00-04:00,19779.5,19780.5,19776,19777.25,113
2025-03-19T07:43:00-04:00,19777,19784.5,19775.75,19782.5,268
2025-03-19T07:44:00-04:00,19782.75,19789.75,19782.75,19787.25,231
2025-03-19T07:45:00-04:00,19786.75,19788.75,19777.75,19778.5,167
2025-03-19T07:46:00-04:00,19778.5,19783.25,19778.25,19779.75,156
2025-03-19T07:47:00-04:00,19779.75,19785.5,19773.25,19784.5,191
2025-03-19T07:48:00-04:00,19784.5,19789.5,19783,19786.5,216
2025-03-19T07:49:00-04:00,19786,19788,19780.75,19781.5,142
2025-03-19T07:50:00-04:00,19780.75,19783.5,19776,19782,126
2025-03-19T07:51:00-04:00,19783,19784.25,19780.25,19783.75,80
2025-03-19T07:52:00-04:00,19783.75,19786,19782.5,19782.5,77
2025-03-19T07:53:00-04:00,19785,19785.75,19780.25,19781,87
2025-03-19T07:54:00-04:00,19781,19783,19777.25,19778.75,100
2025-03-19T07:55:00-04:00,19778,19780.5,19776.25,19779.25,70
2025-03-19T07:56:00-04:00,19780,19780.5,19748,19756.25,1655
2025-03-19T07:57:00-04:00,19756,19779.5,19748.25,19774.25,949
2025-03-19T07:58:00-04:00,19775,19783.25,19773.25,19781,651
2025-03-19T07:59:00-04:00,19781.75,19782.25,19773,19773.25,229
2025-03-19T08:00:00-04:00,19772.5,19783.75,19771.5,19776.75,210
2025-03-19T08:01:00-04:00,19776.5,19779.75,19767.75,19769.5,194
2025-03-19T08:02:00-04:00,19768,19773.25,19761.25,19773.25,174
2025-03-19T08:03:00-04:00,19773.5,19773.5,19765,19765,85
2025-03-19T08:04:00-04:00,19764.25,19767.25,19761,19767,103
2025-03-19T08:05:00-04:00,19766,19771,19765.25,19770,65
2025-03-19T08:06:00-04:00,19769.5,19777.75,19767,19772.25,168
2025-03-19T08:07:00-04:00,19772,19772,19763.5,19764,99
2025-03-19T08:08:00-04:00,19763.5,19770.5,19761.75,19765.75,153
2025-03-19T08:09:00-04:00,19766,19770.25,19765.5,19766.25,52
2025-03-19T08:10:00-04:00,19766.5,19773,19766.5,19770.25,152
2025-03-19T08:11:00-04:00,19770.25,19778.5,19770,19772.25,190
2025-03-19T08:12:00-04:00,19772.5,19772.5,19765,19769.75,73
2025-03-19T08:13:00-04:00,19770,19773.75,19770,19772.5,179
