time,open,high,low,close,Volume
2025-03-25T00:00:00-04:00,20338.75,20341.75,20333,20336.5,336
2025-03-25T00:05:00-04:00,20336,20336.75,20331,20335,125
2025-03-25T00:10:00-04:00,20335,20335.75,20332,20332.25,90
2025-03-25T00:15:00-04:00,20332,20335,20330,20332.25,189
2025-03-25T00:20:00-04:00,20332.75,20333.5,20330.25,20332.5,129
2025-03-25T00:25:00-04:00,20331.75,20333,20329,20330.25,133
2025-03-25T00:30:00-04:00,20331.5,20332.75,20328.5,20332.25,147
2025-03-25T00:35:00-04:00,20332,20336.75,20332,20335,177
2025-03-25T00:40:00-04:00,20335.5,20339,20335.25,20337.75,151
2025-03-25T00:45:00-04:00,20337.25,20337.25,20334.5,20336.5,72
2025-03-25T00:50:00-04:00,20337,20338.25,20336.25,20336.75,52
2025-03-25T00:55:00-04:00,20337,20338,20335.5,20336,90
2025-03-25T01:00:00-04:00,20336,20336.25,20333,20335.25,161
2025-03-25T01:05:00-04:00,20336,20339.75,20334,20339,166
2025-03-25T01:10:00-04:00,20338.75,20341.25,20337,20340.75,153
2025-03-25T01:15:00-04:00,20341,20343,20339.75,20341.5,188
2025-03-25T01:20:00-04:00,20341,20341,20336.25,20338.75,122
2025-03-25T01:25:00-04:00,20339,20341.5,20337.25,20339.5,127
2025-03-25T01:30:00-04:00,20339.75,20339.75,20335.25,20337.75,93
2025-03-25T01:35:00-04:00,20337.75,20338.5,20335.5,20337.75,108
2025-03-25T01:40:00-04:00,20337.5,20339.75,20336.75,20337.25,75
2025-03-25T01:45:00-04:00,20337.75,20341.5,20337.75,20339.5,57
2025-03-25T01:50:00-04:00,20339.5,20341.5,20339.25,20340.25,64
2025-03-25T01:55:00-04:00,20340.5,20342.25,20340.5,20341.25,76
2025-03-25T02:00:00-04:00,20341.5,20342.75,20337.75,20342,266
2025-03-25T02:05:00-04:00,20341.5,20343,20338.25,20339.25,101
2025-03-25T02:10:00-04:00,20338.75,20342.5,20337.25,20342,199
2025-03-25T02:15:00-04:00,20341.25,20343,20335.5,20336.5,160
2025-03-25T02:20:00-04:00,20337,20341.75,20336.75,20339.75,194
2025-03-25T02:25:00-04:00,20339.25,20339.25,20336,20337.75,132
2025-03-25T02:30:00-04:00,20337.75,20342.5,20332.25,20342,297
2025-03-25T02:35:00-04:00,20342.5,20345.25,20338.5,20342.75,200
2025-03-25T02:40:00-04:00,20342.75,20342.75,20340.5,20341,84
2025-03-25T02:45:00-04:00,20341.5,20342.75,20336.5,20338.5,119
2025-03-25T02:50:00-04:00,20339,20344.25,20339,20342.5,212
2025-03-25T02:55:00-04:00,20342.75,20351,20342.75,20351,244
2025-03-25T03:00:00-04:00,20350.25,20360.5,20349.5,20360.25,547
2025-03-25T03:05:00-04:00,20359.5,20372,20359.5,20365.5,614
2025-03-25T03:10:00-04:00,20365.75,20370.25,20363,20368,306
2025-03-25T03:15:00-04:00,20368,20371.25,20364.25,20365.25,326
2025-03-25T03:20:00-04:00,20366,20368.25,20361.5,20362,322
2025-03-25T03:25:00-04:00,20361.5,20362,20357.5,20358.75,319
2025-03-25T03:30:00-04:00,20358.25,20361,20351.5,20351.5,431
2025-03-25T03:35:00-04:00,20352.25,20353.5,20350,20353,328
2025-03-25T03:40:00-04:00,20352.75,20354.5,20346.75,20347.25,320
2025-03-25T03:45:00-04:00,20347,20348,20342.25,20346.75,372
2025-03-25T03:50:00-04:00,20346.5,20349.25,20345,20346,259
2025-03-25T03:55:00-04:00,20346,20348,20338.25,20338.25,416
2025-03-25T04:00:00-04:00,20339,20349,20339,20347.5,920
2025-03-25T04:05:00-04:00,20348,20350.5,20323.5,20327.5,1602
2025-03-25T04:10:00-04:00,20327.75,20333.25,20316.5,20318.5,1044
2025-03-25T04:15:00-04:00,20318.5,20318.75,20294,20297.25,2098
2025-03-25T04:20:00-04:00,20297.75,20314.75,20297,20312.75,1200
2025-03-25T04:25:00-04:00,20314,20317.5,20299,20299.5,915
2025-03-25T04:30:00-04:00,20299,20304,20293,20296.25,689
2025-03-25T04:35:00-04:00,20296.75,20308.5,20294,20307,594
2025-03-25T04:40:00-04:00,20306.25,20308.5,20300,20307.25,501
2025-03-25T04:45:00-04:00,20306.75,20312.5,20301,20310.5,466
2025-03-25T04:50:00-04:00,20310,20321.25,20310,20313.5,811
