timestamp,type,entry,stop,target,reason,fvg_start_time,fvg_level1,fvg_level2,structure_type,structure_price,structure_confirm_time,ob_start,ob_end,ob_price,ob_type,ob_level1,ob_level2,exit_time,result
2025-03-24 10:05:00-04:00,LONG,20296.875,20276.875,20356.875,Unmitigated FVG + Structure + OB,2025-03-24 09:40:00-04:00,20289.75,20304.0,BOS,20286.0,2025-03-24 09:45:00-04:00,2025-03-24 08:15:00-04:00,2025-03-24 09:30:00-04:00,20242.5,BULLISH,20237.75,20249.0,2025-03-24 10:45:00-04:00,WIN
2025-03-24 10:55:00-04:00,LONG,20344.25,20324.25,20404.25,Unmitigated FVG + Structure + OB,2025-03-24 10:40:00-04:00,20339.5,20349.0,BOS,20350.0,2025-03-24 10:45:00-04:00,2025-03-24 08:15:00-04:00,2025-03-24 09:30:00-04:00,20242.5,BULLISH,20237.75,20249.0,2025-03-24 12:30:00-04:00,LOSS
2025-03-25 10:55:00-04:00,LONG,20469.375,20449.375,20529.375,Unmitigated FVG + Structure + OB,2025-03-25 10:35:00-04:00,20465.0,20473.75,BOS,20434.75,2025-03-25 10:25:00-04:00,2025-03-24 15:35:00-04:00,2025-03-24 16:25:00-04:00,20367.75,BULLISH,20360.75,20372.25,2025-03-25 11:45:00-04:00,LOSS
2025-03-25 13:00:00-04:00,SHORT,20470.75,20490.75,20410.75,Unmitigated FVG + Structure + OB,2025-03-25 11:25:00-04:00,20473.25,20468.25,BOS,20432.25,2025-03-25 12:25:00-04:00,2025-03-25 09:10:00-04:00,2025-03-25 10:10:00-04:00,20427.625,BEARISH,20434.75,20423.75,2025-03-25 13:25:00-04:00,WIN
2025-03-25 13:10:00-04:00,LONG,20463.875,20443.875,20523.875,Unmitigated FVG + Structure + OB,2025-03-25 12:55:00-04:00,20461.0,20466.75,BOS,20459.25,2025-03-25 13:00:00-04:00,2025-03-24 15:35:00-04:00,2025-03-24 16:25:00-04:00,20367.75,BULLISH,20360.75,20372.25,2025-03-25 13:15:00-04:00,LOSS
2025-03-25 13:35:00-04:00,SHORT,20425.875,20445.875,20365.875,Unmitigated FVG + Structure + OB,2025-03-25 13:20:00-04:00,20429.5,20422.25,CHoCH,20417.5,2025-03-25 13:25:00-04:00,2025-03-25 09:10:00-04:00,2025-03-25 10:10:00-04:00,20427.625,BEARISH,20434.75,20423.75,2025-03-25 14:15:00-04:00,LOSS
2025-03-26 10:30:00-04:00,SHORT,20287.875,20307.875,20227.875,Unmitigated FVG + Structure + OB,2025-03-26 10:10:00-04:00,20294.0,20281.75,BOS,20413.0,2025-03-26 09:45:00-04:00,2025-03-26 09:05:00-04:00,2025-03-28 16:55:00-04:00,20478.375,BEARISH,20486.5,20468.0,2025-03-26 10:50:00-04:00,LOSS
2025-03-26 13:40:00-04:00,SHORT,20106.875,20126.875,20046.875,Unmitigated FVG + Structure + OB,2025-03-26 13:25:00-04:00,20112.75,20101.0,BOS,20124.75,2025-03-26 13:15:00-04:00,2025-03-26 11:20:00-04:00,2025-03-28 16:55:00-04:00,20302.0,BEARISH,20320.5,20287.0,2025-03-26 14:10:00-04:00,LOSS
2025-03-27 10:50:00-04:00,LONG,20136.25,20116.25,20196.25,Unmitigated FVG + Structure + OB,2025-03-27 10:30:00-04:00,20132.5,20140.0,BOS,20102.75,2025-03-27 10:25:00-04:00,2025-03-27 04:50:00-04:00,2025-03-27 06:55:00-04:00,20082.5,BULLISH,20066.25,20085.5,2025-03-27 10:55:00-04:00,WIN
2025-03-27 13:15:00-04:00,SHORT,20065.125,20085.125,20005.125,Unmitigated FVG + Structure + OB,2025-03-27 12:40:00-04:00,20077.75,20052.5,BOS,20039.0,2025-03-27 12:55:00-04:00,2025-03-27 09:05:00-04:00,2025-03-27 10:00:00-04:00,20068.625,BEARISH,20081.75,20061.25,2025-03-27 13:35:00-04:00,WIN
