time,open,high,low,close,Volume
2025-03-16T18:00:00-04:00,19874.25,19892.25,19853.5,19863.5,1211
2025-03-16T18:05:00-04:00,19863.75,19866,19821.75,19824.25,1195
2025-03-16T18:10:00-04:00,19825,19837.5,19799,19820.5,1545
2025-03-16T18:15:00-04:00,19819.5,19825,19803,19818,783
2025-03-16T18:20:00-04:00,19818.75,19827.75,19809,19823.25,658
2025-03-16T18:25:00-04:00,19824.25,19830.5,19815,19821.25,405
2025-03-16T18:30:00-04:00,19822,19827.75,19803.5,19814.25,790
2025-03-16T18:35:00-04:00,19816.75,19821.25,19801.25,19806.75,637
2025-03-16T18:40:00-04:00,19806.5,19826.75,19804,19820.75,636
2025-03-16T18:45:00-04:00,19819.25,19820.5,19809.5,19811.5,360
2025-03-16T18:50:00-04:00,19809.25,19818.75,19783,19800,1514
2025-03-16T18:55:00-04:00,19797.5,19801.75,19765.5,19775.5,1119
2025-03-16T19:00:00-04:00,19775.25,19786,19767.75,19783.75,387
2025-03-16T19:05:00-04:00,19781.5,19784.25,19756.5,19765.5,507
2025-03-16T19:10:00-04:00,19765.75,19776,19756.75,19774,497
2025-03-16T19:15:00-04:00,19775.25,19792,19772.5,19784.25,472
2025-03-16T19:20:00-04:00,19784.25,19788.75,19779.25,19784,188
2025-03-16T19:25:00-04:00,19784,19798.25,19782.75,19794.75,196
2025-03-16T19:30:00-04:00,19796.25,19800.25,19791.25,19797.25,163
2025-03-16T19:35:00-04:00,19799,19809,19794.5,19806.5,277
2025-03-16T19:40:00-04:00,19806,19817.25,19805.5,19809.25,388
2025-03-16T19:45:00-04:00,19811,19812,19800.5,19801,226
2025-03-16T19:50:00-04:00,19801,19815.25,19789,19804.25,653
2025-03-16T19:55:00-04:00,19802,19802,19788.5,19790,300
2025-03-16T20:00:00-04:00,19792,19806,19783.75,19792.5,682
2025-03-16T20:05:00-04:00,19792.5,19797.5,19776.5,19776.5,723
2025-03-16T20:10:00-04:00,19776.25,19784.25,19775,19782.5,592
2025-03-16T20:15:00-04:00,19783,19785.25,19770.5,19777.75,530
2025-03-16T20:20:00-04:00,19778.25,19786.5,19777.5,19782.25,584
2025-03-16T20:25:00-04:00,19782.5,19794.25,19778.75,19790.5,323
2025-03-16T20:30:00-04:00,19790,19811.5,19789.5,19808.75,871
2025-03-16T20:35:00-04:00,19809.75,19821,19805.75,19810,724
2025-03-16T20:40:00-04:00,19811,19816,19804.75,19813.5,343
2025-03-16T20:45:00-04:00,19812.75,19818.5,19807.75,19817.75,435
2025-03-16T20:50:00-04:00,19818.25,19828.75,19816,19821,456
2025-03-16T20:55:00-04:00,19821.75,19826,19805.75,19807.75,468
2025-03-16T21:00:00-04:00,19808,19825,19805.25,19810.75,540
2025-03-16T21:05:00-04:00,19811,19820.75,19804.75,19818.25,384
2025-03-16T21:10:00-04:00,19820.25,19820.25,19806.75,19809.5,265
2025-03-16T21:15:00-04:00,19808.5,19823,19805.5,19821.75,318
2025-03-16T21:20:00-04:00,19821.75,19834.5,19820.5,19829.25,510
2025-03-16T21:25:00-04:00,19829.75,19830.75,19822,19822.5,189
2025-03-16T21:30:00-04:00,19823,19829.25,19817.25,19822,281
2025-03-16T21:35:00-04:00,19822.5,19827,19818.25,19821,216
2025-03-16T21:40:00-04:00,19822.5,19826.5,19815,19825,222
2025-03-16T21:45:00-04:00,19825.5,19831.5,19821,19829,331
2025-03-16T21:50:00-04:00,19828.5,19829.25,19814.25,19824.25,340
2025-03-16T21:55:00-04:00,19825,19826.75,19810,19815,380
2025-03-16T22:00:00-04:00,19815.5,19817.5,19798.25,19803,642
2025-03-16T22:05:00-04:00,19802.5,19813.75,19798.25,19810,477
2025-03-16T22:10:00-04:00,19809.25,19809.25,19798.5,19803,386
2025-03-16T22:15:00-04:00,19802.75,19816.5,19801.75,19815.25,239
2025-03-16T22:20:00-04:00,19815.5,19816.5,19809.75,19813,159
2025-03-16T22:25:00-04:00,19812.75,19816.25,19807.25,19815.25,175
2025-03-16T22:30:00-04:00,19815,19816,19810.75,19812.25,119
2025-03-16T22:35:00-04:00,19812.25,19815.25,19807.5,19814,124
2025-03-16T22:40:00-04:00,19814.75,19815.75,19809.75,19810.75,70
2025-03-16T22:45:00-04:00,19810,19814.75,19804.5,19809.75,213
2025-03-16T22:50:00-04:00,19810.25,19813.75,19806.5,19809.5,140
2025-03-16T22:55:00-04:00,19810,19817,19807.25,19808.5,360
2025-03-16T23:00:00-04:00,19807.25,19811,19794,19795.5,289
2025-03-16T23:05:00-04:00,19795.5,19803.75,19792,19801.25,291
2025-03-16T23:10:00-04:00,19800.75,19815,19795.75,19810,308
2025-03-16T23:15:00-04:00,19810,19816,19806.75,19808.5,189
2025-03-16T23:20:00-04:00,19807.25,19808.5,19798,19803,184
2025-03-16T23:25:00-04:00,19804.25,19804.25,19798.25,19800,93
2025-03-16T23:30:00-04:00,19802,19806.25,19795,19798.25,221
2025-03-16T23:35:00-04:00,19798.25,19800.25,19794.5,19799.25,78
2025-03-16T23:40:00-04:00,19798,19802,19796,19799,120
2025-03-16T23:45:00-04:00,19800.25,19809.5,19800,19807.5,158
2025-03-16T23:50:00-04:00,19807.25,19807.5,19794.5,19795,197
2025-03-16T23:55:00-04:00,19794.75,19798.75,19789.25,19792.25,252
2025-03-17T00:00:00-04:00,19790.5,19805.25,19790.25,19801.25,173
2025-03-17T00:05:00-04:00,19801.5,19812,19793.75,19802.25,478
2025-03-17T00:10:00-04:00,19801.5,19810.75,19800.25,19810.5,149
2025-03-17T00:15:00-04:00,19808.75,19812.5,19803.75,19807,190
2025-03-17T00:20:00-04:00,19807.75,19811.25,19805.5,19807.25,117
2025-03-17T00:25:00-04:00,19807.5,19807.5,19796.75,19797.75,204
2025-03-17T00:30:00-04:00,19797.5,19800.5,19796,19799.75,101
2025-03-17T00:35:00-04:00,19799.25,19810.75,19799.25,19808.25,159
2025-03-17T00:40:00-04:00,19807.75,19808.25,19801,19804.75,96
2025-03-17T00:45:00-04:00,19806,19806.5,19802.5,19803.25,66
2025-03-17T00:50:00-04:00,19803.75,19808.5,19803.75,19808.25,70
2025-03-17T00:55:00-04:00,19808,19808,19797.75,19801,137
2025-03-17T01:00:00-04:00,19801.5,19802.75,19791.25,19793.5,166
2025-03-17T01:05:00-04:00,19793,19797.75,19791,19794.25,147
2025-03-17T01:10:00-04:00,19794.75,19799.75,19793,19795.75,117
2025-03-17T01:15:00-04:00,19796.5,19804.75,19795.75,19803.25,145
2025-03-17T01:20:00-04:00,19803.5,19804.25,19799,19801.25,83
2025-03-17T01:25:00-04:00,19800.75,19803.75,19800,19802,53
2025-03-17T01:30:00-04:00,19802,19806,19801.5,19804.25,97
2025-03-17T01:35:00-04:00,19803.75,19804.5,19799,19801,81
2025-03-17T01:40:00-04:00,19801,19801.25,19795.5,19798.75,85
2025-03-17T01:45:00-04:00,19799.75,19802,19794.5,19802,98
2025-03-17T01:50:00-04:00,19802.25,19802.5,19798,19799.75,62
2025-03-17T01:55:00-04:00,19800,19801.25,19798.5,19799.75,34
2025-03-17T02:00:00-04:00,19800,19807.75,19798.25,19801.5,201
2025-03-17T02:05:00-04:00,19801.5,19802.75,19795.25,19796,109
2025-03-17T02:10:00-04:00,19795.75,19799.25,19791.5,19797,139
2025-03-17T02:15:00-04:00,19797.5,19797.5,19779.25,19781.25,253
2025-03-17T02:20:00-04:00,19780.5,19781,19768,19775.75,462
2025-03-17T02:25:00-04:00,19775.75,19784.75,19769.25,19776.25,340
2025-03-17T02:30:00-04:00,19775.75,19779.75,19772.75,19775.5,170
2025-03-17T02:35:00-04:00,19774.25,19780.75,19774.25,19780.25,120
2025-03-17T02:40:00-04:00,19781,19783.5,19778.75,19781.25,133
2025-03-17T02:45:00-04:00,19779.75,19788,19778.25,19783,177
2025-03-17T02:50:00-04:00,19783,19785.25,19780.25,19781.5,116
2025-03-17T02:55:00-04:00,19782.25,19784.25,19780.75,19783.5,75
2025-03-17T03:00:00-04:00,19783,19784,19769.75,19776.5,376
2025-03-17T03:05:00-04:00,19775.5,19778.5,19771.75,19776.5,172
2025-03-17T03:10:00-04:00,19775.75,19779,19767.75,19777,215
2025-03-17T03:15:00-04:00,19778,19780.75,19760.75,19765,356
2025-03-17T03:20:00-04:00,19765.5,19774.5,19761.5,19773,283
2025-03-17T03:25:00-04:00,19772.75,19787.25,19771.5,19782,297
2025-03-17T03:30:00-04:00,19781.5,19786.25,19775,19782,201
2025-03-17T03:35:00-04:00,19782.5,19782.5,19761,19766.25,491
2025-03-17T03:40:00-04:00,19766.5,19773,19764,19772,292
2025-03-17T03:45:00-04:00,19772.25,19785,19772,19778.75,392
2025-03-17T03:50:00-04:00,19780.25,19795.5,19776.75,19789.5,444
2025-03-17T03:55:00-04:00,19789.25,19806,19783.75,19798,479
2025-03-17T04:00:00-04:00,19799,19805,19786.5,19791.5,795
2025-03-17T04:05:00-04:00,19790.75,19801.75,19781.75,19799.25,565
2025-03-17T04:10:00-04:00,19800.5,19809.5,19793.5,19807,625
2025-03-17T04:15:00-04:00,19806.25,19812.5,19786,19794.25,517
2025-03-17T04:20:00-04:00,19796,19815.5,19792.75,19815.25,665
2025-03-17T04:25:00-04:00,19814,19823.5,19813,19818,517
2025-03-17T04:30:00-04:00,19819.5,19819.75,19800.75,19805.5,584
2025-03-17T04:35:00-04:00,19806,19819.5,19804.5,19817.5,354
2025-03-17T04:40:00-04:00,19819,19821.75,19812.25,19819.5,339
2025-03-17T04:45:00-04:00,19819.5,19828.5,19816.5,19825.5,497
2025-03-17T04:50:00-04:00,19825.75,19828,19819.5,19826.25,313
2025-03-17T04:55:00-04:00,19826.25,19833.75,19819.25,19826.5,314
2025-03-17T05:00:00-04:00,19824.75,19831.5,19815,19827,487
2025-03-17T05:05:00-04:00,19828,19835.75,19817.5,19818.5,467
2025-03-17T05:10:00-04:00,19817,19823.75,19812.75,19823.75,303
2025-03-17T05:15:00-04:00,19823.25,19823.25,19810.5,19815.75,320
2025-03-17T05:20:00-04:00,19817.25,19828.5,19813.25,19817,455
2025-03-17T05:25:00-04:00,19815.75,19829.5,19813.25,19828,302
2025-03-17T05:30:00-04:00,19827.75,19837,19819.5,19830.25,454
2025-03-17T05:35:00-04:00,19829.5,19835.75,19820.75,19835.75,341
2025-03-17T05:40:00-04:00,19836,19837.5,19829,19830.25,490
2025-03-17T05:45:00-04:00,19829.75,19842.5,19825.25,19838,494
2025-03-17T05:50:00-04:00,19839.25,19841,19827.75,19832.5,284
2025-03-17T05:55:00-04:00,19832,19835.25,19827.25,19831.25,264
2025-03-17T06:00:00-04:00,19830.5,19836,19823,19836,370
2025-03-17T06:05:00-04:00,19835.5,19848,19830.5,19846,446
2025-03-17T06:10:00-04:00,19847,19857.75,19841.25,19854.75,666
2025-03-17T06:15:00-04:00,19854.75,19857.5,19848.25,19857.25,340
