date,open,high,low,close,volume,average,barCount
2025-02-17 00:00:00+01:00,22418.25,22459.5,22418.25,22459.5,3.0,22444.425,3
2025-02-17 00:05:00+01:00,22452.0,22452.0,22452.0,22452.0,1.0,22452.0,1
2025-02-17 00:10:00+01:00,22457.5,22457.5,22457.5,22457.5,1.0,22457.5,1
2025-02-17 00:15:00+01:00,22461.5,22461.5,22455.0,22455.0,6.0,22460.425,2
2025-02-17 00:20:00+01:00,22455.0,22455.0,22455.0,22455.0,0.0,22455.0,0
2025-02-17 00:25:00+01:00,22455.0,22455.0,22455.0,22455.0,0.0,22455.0,0
2025-02-17 00:30:00+01:00,22442.5,22443.5,22442.25,22442.25,4.0,22442.7,4
2025-02-17 00:35:00+01:00,22441.0,22441.0,22441.0,22441.0,1.0,22441.0,1
2025-02-17 00:40:00+01:00,22441.0,22441.0,22441.0,22441.0,0.0,22441.0,0
2025-02-17 00:45:00+01:00,22452.25,22452.25,22452.25,22452.25,1.0,22452.25,1
2025-02-17 00:50:00+01:00,22452.25,22452.25,22452.25,22452.25,0.0,22452.25,0
2025-02-17 00:55:00+01:00,22452.25,22452.25,22452.25,22452.25,0.0,22452.25,0
2025-02-17 01:00:00+01:00,22452.25,22452.25,22452.25,22452.25,0.0,22452.25,0
2025-02-17 01:05:00+01:00,22452.25,22452.25,22452.25,22452.25,0.0,22452.25,0
2025-02-17 01:10:00+01:00,22452.25,22452.25,22452.25,22452.25,0.0,22452.25,0
2025-02-17 01:15:00+01:00,22452.25,22452.25,22452.25,22452.25,0.0,22452.25,0
2025-02-17 01:20:00+01:00,22452.25,22452.25,22452.25,22452.25,0.0,22452.25,0
2025-02-17 01:25:00+01:00,22452.0,22452.0,22452.0,22452.0,1.0,22452.0,1
2025-02-17 01:30:00+01:00,22452.0,22452.0,22452.0,22452.0,0.0,22452.0,0
2025-02-17 01:35:00+01:00,22452.0,22452.0,22452.0,22452.0,0.0,22452.0,0
2025-02-17 01:40:00+01:00,22452.0,22452.0,22452.0,22452.0,0.0,22452.0,0
2025-02-17 01:45:00+01:00,22456.75,22456.75,22456.75,22456.75,1.0,22456.75,1
2025-02-17 01:50:00+01:00,22456.75,22456.75,22456.75,22456.75,0.0,22456.75,0
2025-02-17 01:55:00+01:00,22462.0,22463.25,22462.0,22463.25,2.0,22462.625,2
2025-02-17 02:00:00+01:00,22463.0,22463.0,22463.0,22463.0,1.0,22463.0,1
2025-02-17 02:05:00+01:00,22463.0,22463.0,22463.0,22463.0,0.0,22463.0,0
2025-02-17 02:10:00+01:00,22468.0,22468.0,22468.0,22468.0,1.0,22468.0,1
2025-02-17 02:15:00+01:00,22469.75,22469.75,22469.75,22469.75,1.0,22469.75,1
2025-02-17 02:20:00+01:00,22469.75,22469.75,22469.75,22469.75,0.0,22469.75,0
2025-02-17 02:25:00+01:00,22480.0,22480.0,22480.0,22480.0,15.0,22480.0,11
2025-02-17 02:30:00+01:00,22480.0,22489.75,22480.0,22489.75,11.0,22480.875,8
2025-02-17 02:35:00+01:00,22489.75,22489.75,22489.75,22489.75,0.0,22489.75,0
2025-02-17 02:40:00+01:00,22490.25,22490.25,22490.25,22490.25,1.0,22490.25,1
2025-02-17 02:45:00+01:00,22489.75,22490.5,22489.75,22490.5,2.0,22490.125,2
2025-02-17 02:50:00+01:00,22490.5,22490.5,22490.5,22490.5,0.0,22490.5,0
2025-02-17 02:55:00+01:00,22490.5,22490.5,22490.5,22490.5,0.0,22490.5,0
2025-02-17 03:00:00+01:00,22490.5,22490.5,22490.5,22490.5,0.0,22490.5,0
2025-02-17 03:05:00+01:00,22490.5,22490.5,22490.5,22490.5,0.0,22490.5,0
2025-02-17 03:10:00+01:00,22498.0,22499.0,22498.0,22499.0,2.0,22498.5,2
2025-02-17 03:15:00+01:00,22500.0,22500.0,22500.0,22500.0,6.0,22500.0,5
2025-02-17 03:20:00+01:00,22500.0,22500.0,22500.0,22500.0,0.0,22500.0,0
2025-02-17 03:25:00+01:00,22500.0,22500.0,22500.0,22500.0,0.0,22500.0,0
2025-02-17 03:30:00+01:00,22505.0,22505.0,22505.0,22505.0,1.0,22505.0,1
2025-02-17 03:35:00+01:00,22505.0,22505.0,22505.0,22505.0,0.0,22505.0,0
