time,open,high,low,close,Volume
2025-03-24T00:00:00-04:00,20104,20104,20096,20101,389
2025-03-24T00:05:00-04:00,20100.75,20102.25,20099,20100.25,138
2025-03-24T00:10:00-04:00,20100,20102.75,20098.5,20099.25,100
2025-03-24T00:15:00-04:00,20098.5,20105.25,20098.25,20104.25,157
2025-03-24T00:20:00-04:00,20104.75,20104.75,20101,20101.25,61
2025-03-24T00:25:00-04:00,20101,20109.25,20100.75,20105.75,268
2025-03-24T00:30:00-04:00,20106.75,20109.5,20106,20107.5,125
2025-03-24T00:35:00-04:00,20108,20113.75,20106.5,20111,243
2025-03-24T00:40:00-04:00,20111,20113.25,20109.5,20111.5,152
2025-03-24T00:45:00-04:00,20112,20113,20111,20111.5,109
2025-03-24T00:50:00-04:00,20111.25,20112.5,20109.5,20111,99
2025-03-24T00:55:00-04:00,20110.25,20113,20110.25,20112.5,79
2025-03-24T01:00:00-04:00,20111.75,20117.75,20111.75,20116.5,252
2025-03-24T01:05:00-04:00,20115.5,20121,20115.5,20115.5,286
2025-03-24T01:10:00-04:00,20115,20122.75,20113.5,20121.75,177
2025-03-24T01:15:00-04:00,20122.5,20124.5,20119.5,20122.75,217
2025-03-24T01:20:00-04:00,20122.75,20124.75,20120.75,20124.5,109
2025-03-24T01:25:00-04:00,20123,20126,20119.75,20119.75,189
2025-03-24T01:30:00-04:00,20119.5,20120.25,20113.75,20118.5,217
2025-03-24T01:35:00-04:00,20118.75,20121.5,20116.75,20117.75,81
2025-03-24T01:40:00-04:00,20117.25,20119,20115.75,20117.25,77
2025-03-24T01:45:00-04:00,20117.25,20118.25,20115.75,20117.5,57
2025-03-24T01:50:00-04:00,20116.75,20118.25,20116.25,20117.75,61
2025-03-24T01:55:00-04:00,20117,20119.75,20114.75,20116.5,134
2025-03-24T02:00:00-04:00,20116.5,20118.5,20114.75,20117,170
2025-03-24T02:05:00-04:00,20117.5,20118,20111.25,20113.5,137
2025-03-24T02:10:00-04:00,20113.25,20117,20110.25,20113,182
2025-03-24T02:15:00-04:00,20113.75,20118.75,20113.75,20117,128
2025-03-24T02:20:00-04:00,20116.75,20123.75,20115.25,20120,207
2025-03-24T02:25:00-04:00,20119.75,20122,20117.5,20121,151
2025-03-24T02:30:00-04:00,20121,20121.25,20114.75,20117.5,280
2025-03-24T02:35:00-04:00,20117.5,20123.75,20113.75,20119.75,305
2025-03-24T02:40:00-04:00,20119.5,20129.25,20119.5,20128,442
2025-03-24T02:45:00-04:00,20128,20135.75,20126.75,20135.25,420
2025-03-24T02:50:00-04:00,20136,20147.75,20133,20141,919
2025-03-24T02:55:00-04:00,20140.75,20149.75,20138.25,20146.75,549
2025-03-24T03:00:00-04:00,20146.5,20151,20140.5,20145,757
2025-03-24T03:05:00-04:00,20145,20147.75,20140.75,20146.75,327
2025-03-24T03:10:00-04:00,20148,20159,20146.75,20159,1633
2025-03-24T03:15:00-04:00,20159.25,20173,20158.75,20162.5,1456
2025-03-24T03:20:00-04:00,20163,20168.5,20161.25,20167.25,495
2025-03-24T03:25:00-04:00,20166.75,20172.75,20164,20172,1339
2025-03-24T03:30:00-04:00,20172,20172.75,20161,20162.75,671
2025-03-24T03:35:00-04:00,20162.75,20171.25,20160.75,20161.25,636
2025-03-24T03:40:00-04:00,20161.25,20163.25,20159.5,20162,306
2025-03-24T03:45:00-04:00,20162,20170.25,20162,20167.25,451
2025-03-24T03:50:00-04:00,20167.75,20168.25,20161.75,20166.75,377
2025-03-24T03:55:00-04:00,20166,20171.5,20166,20167.5,452
2025-03-24T04:00:00-04:00,20166.75,20187.5,20158.75,20187,2929
2025-03-24T04:05:00-04:00,20186.75,20215.25,20186.25,20215,1687
2025-03-24T04:10:00-04:00,20214.5,20220.25,20204.25,20218,1341
2025-03-24T04:15:00-04:00,20218.75,20227.25,20201.5,20203.5,1525
2025-03-24T04:20:00-04:00,20201.5,20209.5,20193,20206.5,794
2025-03-24T04:25:00-04:00,20206.5,20209.75,20200.5,20209.75,630
2025-03-24T04:30:00-04:00,20208.75,20210.75,20201.5,20207.75,613
2025-03-24T04:35:00-04:00,20208,20210.5,20202.75,20207.25,526
2025-03-24T04:40:00-04:00,20208.25,20216.75,20204.5,20205.75,670
2025-03-24T04:45:00-04:00,20206,20209,20197.75,20208.5,560
