time,open,high,low,close,Volume
2025-03-03T00:00:00-05:00,21157.5,21169.75,21150.5,21165,618
2025-03-03T00:05:00-05:00,21164.25,21167.5,21153,21157,317
2025-03-03T00:10:00-05:00,21157.5,21170.75,21157,21168.25,251
2025-03-03T00:15:00-05:00,21168.25,21175,21166.5,21172.5,283
2025-03-03T00:20:00-05:00,21171.5,21178.25,21163.25,21177.5,343
2025-03-03T00:25:00-05:00,21177.25,21189.75,21175,21179,615
2025-03-03T00:30:00-05:00,21178.25,21188.5,21167.5,21188.25,497
2025-03-03T00:35:00-05:00,21189,21197,21186.5,21190.75,485
2025-03-03T00:40:00-05:00,21191.5,21207.5,21191.5,21198,656
2025-03-03T00:45:00-05:00,21198,21200.25,21191.5,21191.75,236
2025-03-03T00:50:00-05:00,21191.5,21198.75,21188.25,21190.25,201
2025-03-03T00:55:00-05:00,21190,21195.5,21189.25,21193,206
2025-03-03T01:00:00-05:00,21192.75,21195.75,21181,21191.25,679
2025-03-03T01:05:00-05:00,21192,21192.5,21173.75,21177.25,406
2025-03-03T01:10:00-05:00,21175.25,21178.5,21168,21172,348
2025-03-03T01:15:00-05:00,21171.5,21175,21169.75,21173.75,194
2025-03-03T01:20:00-05:00,21173.25,21176,21164.5,21170.25,315
2025-03-03T01:25:00-05:00,21170,21177.5,21170,21176,226
2025-03-03T01:30:00-05:00,21177,21183.75,21170.5,21170.75,404
2025-03-03T01:35:00-05:00,21173.25,21186,21171,21185.5,449
2025-03-03T01:40:00-05:00,21185.25,21196.5,21179.5,21196.25,933
2025-03-03T01:45:00-05:00,21195.25,21210.25,21185,21204,1017
2025-03-03T01:50:00-05:00,21203.5,21227.25,21197.25,21217,1215
2025-03-03T01:55:00-05:00,21217.25,21220.75,21204.25,21214.25,573
2025-03-03T02:00:00-05:00,21214.75,21220.5,21190,21191.5,791
2025-03-03T02:05:00-05:00,21190,21194.25,21177.75,21182,436
2025-03-03T02:10:00-05:00,21183.5,21191,21174,21182,569
2025-03-03T02:15:00-05:00,21181.75,21185.5,21174,21181.25,483
2025-03-03T02:20:00-05:00,21183,21184.5,21157.5,21160.25,775
2025-03-03T02:25:00-05:00,21159.75,21163,21129.25,21135.5,1143
2025-03-03T02:30:00-05:00,21136.5,21165.25,21131.25,21163.25,867
2025-03-03T02:35:00-05:00,21163.5,21179,21158.25,21178,550
2025-03-03T02:40:00-05:00,21178.75,21185.5,21174.5,21181.75,454
2025-03-03T02:45:00-05:00,21180.75,21186.75,21169,21178.5,629
2025-03-03T02:50:00-05:00,21177.75,21185.25,21171,21171.75,291
2025-03-03T02:55:00-05:00,21171.5,21175,21158.75,21169.5,739
2025-03-03T03:00:00-05:00,21167.5,21185.5,21156.25,21183.75,1298
2025-03-03T03:05:00-05:00,21185,21196,21177.25,21186.75,902
2025-03-03T03:10:00-05:00,21186.25,21193.5,21170.5,21174.5,709
2025-03-03T03:15:00-05:00,21175.5,21180.25,21139.75,21142.75,1318
2025-03-03T03:20:00-05:00,21143.25,21157.25,21132,21133,1177
2025-03-03T03:25:00-05:00,21133,21138.25,21094,21116,1948
2025-03-03T03:30:00-05:00,21116,21128.5,21103.75,21123,1101
2025-03-03T03:35:00-05:00,21121.75,21145.75,21115.5,21143.5,1107
2025-03-03T03:40:00-05:00,21142.75,21169.75,21140.75,21161.5,1046
2025-03-03T03:45:00-05:00,21162.75,21169.5,21139.5,21149,795
2025-03-03T03:50:00-05:00,21149,21157,21140.75,21144.5,720
